x,y,set
2.0,0.225,a
2.01,0.22591414851748268,a
2.0199999999999996,0.22683201111279658,a
2.0299999999999994,0.22775360287580268,a
2.039999999999999,0.22867893895767044,a
2.049999999999999,0.22960803457112677,a
2.0599999999999987,0.2305409049907059,a
2.0699999999999985,0.23147756555300092,a
2.0799999999999983,0.23241803165691544,a
2.089999999999998,0.2333623187639173,a
2.099999999999998,0.2343104423982922,a
2.1099999999999977,0.23526241814739934,a
2.1199999999999974,0.2362182616619275,a
2.1299999999999972,0.23717798865615236,a
2.139999999999997,0.23814161490819474,a
2.149999999999997,0.23910915626028034,a
2.1599999999999966,0.2400806286189998,a
2.1699999999999964,0.2410560479555703,a
2.179999999999996,0.24203543030609836,a
2.189999999999996,0.24301879177184327,a
2.1999999999999957,0.24400614851948177,a
2.2099999999999955,0.24499751678137396,a
2.2199999999999953,0.24599291285583014,a
2.229999999999995,0.24699235310737855,a
2.239999999999995,0.24799585396703488,a
2.2499999999999947,0.24900343193257185,a
2.2599999999999945,0.25001510356879075,a
2.2699999999999942,0.2510308855077938,a
2.279999999999994,0.25205079444925743,a
2.289999999999994,0.2530748471607069,a
2.2999999999999936,0.2541030604777918,a
2.3099999999999934,0.25513545130456333,a
2.319999999999993,0.2561720366137515,a
2.329999999999993,0.25721283344704476,a
2.3399999999999928,0.2582578589153698,a
2.3499999999999925,0.25930713019917306,a
2.3599999999999923,0.2603606645487031,a
2.369999999999992,0.26141847928429424,a
2.379999999999992,0.26248059179665123,a
2.3899999999999917,0.26354701954713516,a
2.3999999999999915,0.26461778006805065,a
2.4099999999999913,0.2656928909629341,a
2.419999999999991,0.2667723699068427,a
2.429999999999991,0.26785623464664576,a
2.4399999999999906,0.26894450300131567,a
2.4499999999999904,0.27003719286222133,a
2.45999999999999,0.2711343221934221,a
2.46999999999999,0.27223590903196343,a
2.4799999999999898,0.2733419714881728,a
2.4899999999999896,0.27445252774595813,a
2.4999999999999893,0.2755675960631063,a
2.509999999999989,0.2766871947715835,a
2.519999999999989,0.27781134227783627,a
2.5299999999999887,0.2789400570630948,a
2.5399999999999885,0.28007335768367597,a
2.5499999999999883,0.281211262771289,a
2.559999999999988,0.28235379103334146,a
2.569999999999988,0.283500961253247,a
2.5799999999999876,0.284652792290734,a
2.5899999999999874,0.28580930308215563,a
2.599999999999987,0.2869705126408015,a
2.609999999999987,0.2881364400572096,a
2.619999999999987,0.2893071044994809,a
2.6299999999999866,0.2904825252135938,a
2.6399999999999864,0.291662721523721,a
2.649999999999986,0.2928477128325472,a
2.659999999999986,0.29403751862158745,a
2.6699999999999857,0.2952321584515084,a
2.6799999999999855,0.2964316519624491,a
2.6899999999999853,0.29763601887434427,a
2.699999999999985,0.2988452789872484,a
2.709999999999985,0.30005945218166125,a
2.7199999999999847,0.3012785584188547,a
2.7299999999999844,0.302502617741201,a
2.7399999999999842,0.3037316502725021,a
2.749999999999984,0.30496567621832066,a
2.759999999999984,0.30620471586631215,a
2.7699999999999836,0.3074487895865583,a
2.7799999999999834,0.3086979178319023,a
2.789999999999983,0.3099521211382847,a
2.799999999999983,0.311211420125081,a
2.8099999999999827,0.3124758354954411,a
2.8199999999999825,0.3137453880366292,a
2.8299999999999823,0.3150200986203657,a
2.839999999999982,0.31629998820317035,a
2.849999999999982,0.31758507782670686,a
2.8599999999999817,0.3188753886181287,a
2.8699999999999815,0.3201709417904264,a
2.8799999999999812,0.3214717586427764,a
2.889999999999981,0.32277786056089125,a
2.899999999999981,0.3240892690173711,a
2.9099999999999806,0.32540600557205673,a
2.9199999999999804,0.3267280918723841,a
2.92999999999998,0.32805554965374006,a
2.93999999999998,0.3293884007398198,a
2.9499999999999797,0.33072666704298553,a
2.9599999999999795,0.332070370564627,a
2.9699999999999793,0.33341953339552294,a
2.979999999999979,0.33477417771620416,a
2.989999999999979,0.3361343257973186,a
2.9999999999999787,0.3374999999999971,a
3.0099999999999785,0.3388712227762211,a
3.0199999999999783,0.3402480166691919,a
3.029999999999978,0.34163040431370106,a
3.039999999999978,0.3430184084365027,a
3.0499999999999776,0.34441205185668716,a
3.0599999999999774,0.3458113574860559,a
3.069999999999977,0.3472163483294983,a
3.079999999999977,0.34862704748537016,a
3.0899999999999768,0.3500434781458729,a
3.0999999999999766,0.35146566359743525,a
3.1099999999999763,0.35289362722109596,a
3.119999999999976,0.3543273924928882,a
3.129999999999976,0.35576698298422543,a
3.1399999999999757,0.35721242236228906,a
3.1499999999999755,0.35866373439041743,a
3.1599999999999753,0.36012094292849656,a
3.169999999999975,0.3615840719333523,a
3.179999999999975,0.3630531454591444,a
3.1899999999999746,0.36452818765776174,a
3.1999999999999744,0.36600922277921955,a
3.209999999999974,0.3674962751720578,a
3.219999999999974,0.368989369283742,a
3.229999999999974,0.37048852966106466,a
3.2399999999999736,0.37199378095054914,a
3.2499999999999734,0.37350514789885453,a
3.259999999999973,0.3750226553531829,a
3.269999999999973,0.3765463282616875,a
